Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Value new (USD),Value used (USD),Launch date,Exit date
44020-1,HERO Factory,Invasion From Below,2014,FLYER Beast vs. BREEZ,1,91,12.99,14.99,17.99,,5.70202E+12,6.73419E+11,19.5072,27.9908,7.493,0.15,25.43,20.88,1/1/2014,31/12/2014
41585-1,BrickHeadz,DC Comics Super Heroes,2017,Batman,,91,9.99,9.99,12.99,9.99,,6.73419E+11,9.0932,12.192,7.7978,0.1179339,34.09,16.43,1/3/2017,31/12/2017
12-Jan,Minitalia,,1977,Small basic set,,91,,,,,,,,,,,143.47,,,
382-1,LEGOLAND,,1973,Breakdown Truck and Car,,91,1.65,,,,,,,,,,,24.69,,
40360-1,Friends,Accessories,2019,Name Sign,,91,8.99,9.99,12.99,9.99,,6.73419E+11,19.1,14.1,4.6,,,,1/3/2019,31/12/2019
60146-1,City,Racing,2017,Stunt Truck,1,91,7.99,9.99,12.99,9.99,5.70202E+12,6.73419E+11,15.6972,14.097,6.096,0.172365,18.03,6.16,,
330-3,System,Vehicle,1968,Jeep,,91,,,,,,,,,,,,19.8,,
9026-1,Education,,2003,Baby Stack 'n' Learn Set,4,91,,,,,,,,,,,,,,
75126-1,Star Wars,Microfighters,2016,First Order Snowspeeder Microfighter,1,91,8.99,9.99,12.99,9.99,5.70202E+12,6.73419E+11,14.097,12.192,4.5974,0.1043262,9,7.28,1/1/2016,31/12/2017
41307-1,Friends,Science,2017,Olivia's Creative Lab,1,91,8.99,9.99,12.99,9.99,,6.73419E+11,15.6972,14.097,4.4958,0.113398,11.28,10.55,1/1/2017,31/12/2017
41159-1,Disney,Cinderella,2019,Cinderella's Carriage Ride,1,91,17.99,19.99,24.99,19.99,5.70202E+12,6.73419E+11,26.2,14.1,6.1,0.24,20.49,15.98,1/1/2019,31/12/2019
75194-1,Star Wars,Microfighters,2018,First Order TIE Fighter Microfighter,1,91,8.99,9.99,12.99,9.99,5.70202E+12,6.73419E+11,14.1,12.2,4.6,0.109,12.92,8.29,1/1/2018,31/07/2019
377-2,LEGOLAND,Vehicle,1971,Crane w/Float Truck,,91,1.85,,,,,,,,,,349.9,64.44,,
70111-1,Legends of Chima,Speedorz,2013,Swamp Jump,1,91,9.99,14.99,19.99,,5.70201E+12,6.73419E+11,25.5,23,3.6,0.2,16.62,10.17,1/9/2013,31/12/2013
2011-2,Miscellaneous,Employee gift,2011,LEGO Duck,,91,,,,,,,,,,,231.43,99.78,,
7834-1,Trains,4.5/12V,1980,Level Crossing,1,91,,,,,,,,,,,225.67,54.98,,
7968-1,Racers,Power Racers,2010,Strong,,91,9.99,12.99,17.99,,5.70201E+12,6.73419E+11,26.19,14.1,7.19,0.26,12.29,5.65,,
M8785476-1,Miscellaneous,Muji,2011,Sea,,91,,27.5,,,4.54872E+12,,,,,,,,,
45029-1,Education,Duplo,2020,Animals,,91,,,,,5.70202E+12,,,,,,131.4,,,
