Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Value new (USD),Value used (USD),Launch date,Exit date
21335-1,Ideas,,2022,Motorized Lighthouse,2,2065,259.99,299.99,379.99,299.99,5.70202E+12,,47.5,57.8,9,3.339,315.81,242.02,1/9/2022,31/12/2024
10228-1,Monster Fighters,,2012,Haunted House,6,2064,149.99,179.99,199.99,,5.70201E+12,6.73419E+11,39,24,19,,498.08,393.66,1/9/2012,31/12/2014
71395-1,Super Mario,Miscellaneous,2021,Super Mario 64 Question Mark Block,,2064,169.99,199.99,249.99,199.99,5.70202E+12,,58.2,37.8,10.3,,151.28,137,1/10/2021,31/07/2024
10182-1,Advanced models,Modular Buildings Collection,2007,Cafe Corner,3,2056,88.09,139.99,,,5.70201E+12,,57.6,48,9.6,,2389.07,824.97,8/4/2007,31/12/2009
21310-1,Ideas,,2017,Old Fishing Store,4,2049,139.99,149.99,179.99,149.99,5.70202E+12,,47.8,37.3,10.9,,387.04,316.44,1/9/2017,31/12/2018
76240-1,DC Comics Super Heroes,The Dark Knight Trilogy,2021,Batmobile Tumbler,2,2049,229.99,269.99,349.99,269.99,5.70202E+12,,58.2,48,12.4,,195.68,147.43,1/11/2021,31/12/2023
10292-1,Icons,Licensed,2021,The Friends Apartments,7,2048,159.99,179.99,229.99,179.99,5.70202E+12,6.73419E+11,58,37.6,9.9,2.737,134.28,116.19,1/6/2021,31/12/2024
8110-1,Technic,,2011,Mercedes-Benz Unimog U 400,,2048,154.99,199.99,249.99,,5.70201E+12,,58.2,48,9.1,,305.49,141.78,1/8/2011,31/12/2013
45804-1,Education,FIRST LEGO League Challenge,2017,HYDRO DYNAMICS Challenge Kit,1,2045,,,,,,,,,,,176.97,133.14,,
10218-1,Advanced models,Modular Buildings Collection,2011,Pet Shop,4,2032,119.99,149.99,199.99,149.99,6.73419E+11,6.73419E+11,58.2,48,9.1,,257.88,227.05,1/6/2011,31/12/2016
9664-1,Education,FIRST LEGO League Challenge,2013,Nature's Fury Challenge Kit,3,2031,,,,,,,,,,,150,166.96,,
70751-1,Ninjago,General,2015,Temple of Airjitzu,13,2028,179.99,199.99,229.99,199.99,5.70202E+12,6.73419E+11,58.1914,48.006,9.0932,2.56,381.9,286.13,1/9/2015,31/12/2017
10217-1,Harry Potter,General,2011,Diagon Alley,12,2025,132.99,149.99,199.99,,,6.73419E+11,58.2,37.8,8.7,,454.42,264.94,1/1/2011,31/12/2012
21056-1,Architecture,Landmark Series,2021,Taj Mahal,,2022,104.99,119.99,169.99,119.99,5.70202E+12,6.73419E+11,38.2,26.2,11.8,,86.11,66.58,1/6/2021,31/12/2024
45120-1,Education,,2014,LearnToLearn Core set,,2018,,,,,,6.73419E+11,,,,,110.84,,,
42128-1,Technic,,2021,Heavy-Duty Tow Truck,,2017,159.99,159.99,219.99,179.99,5.70202E+12,6.73419E+11,58.2,37.8,11.8,,134.65,112.64,1/8/2021,31/12/2023
BL19001-1,Bricklink,AFOL Designer Program,2019,Löwenstein Castle,3,2015,,199.99,,,,,,,,,842.54,567.25,,
41732-1,Friends,Heartlake City,2023,Downtown Flower and Design Stores,9,2010,139.99,159.99,219.99,159.99,,,58.2,37.8,10.3,,138.76,,1/1/2023,31/12/2023
42145-1,Technic,Licensed,2022,Airbus H175 Rescue Helicopter,,2001,179.99,209.99,269.99,209.99,5.70202E+12,,58.2,37.8,10.3,,166.13,,1/8/2022,31/12/2024
4425-1,Creator,Bucket,2004,Better Building More Fun,,2000,,,,,,,,,,,,,,
5491-1,Make and Create,,2006,XXL 2000,,2000,,40,,,5.70201E+12,,,,,,168.59,,,
3598-1,Creator,Bucket,2005,XXL 2000 Tube,,2000,,,,,,,,,,,,83,,
5491-2,Make and Create,,2007,LEGO XXL 2000 Barrel,,2000,,,,,,,,,,,,,,
31206-1,Art,Music,2022,The Rolling Stones,,1998,129.99,149.99,199.99,149.99,5.70202E+12,,32.2,38,21,,107.99,,1/6/2022,31/12/2023
75060-1,Star Wars,Ultimate Collector Series,2015,Slave I,5,1996,179.99,199.99,229.99,199.99,5.70202E+12,,58.1914,37.7952,11.811,3.05,447.8,362.17,1/1/2015,31/12/2018
10236-1,Star Wars,Ultimate Collector Series,2013,Ewok Village,17,1990,199.99,249.99,299.99,249.99,5.70201E+12,,58.1914,48.006,9.0932,3.15,450.84,416.93,1/9/2013,31/12/2016
10184-1,Advanced models,Miscellaneous,2008,Town Plan,8,1981,88.09,149.99,,,5.70201E+12,,65.2,43.2,9.6,,330,160.99,1/1/2008,31/12/2009
42054-1,Technic,,2016,CLAAS XERION 5000 TRAC VC,,1977,129.99,179.99,229.99,149.99,5.70202E+12,6.73419E+11,58.2,37.8,10.3,,290.59,191.68,1/8/2016,31/12/2017
45801-1,Education,FIRST LEGO League Challenge,2015,Trash Trek Challenge Kit,2,1973,,,,,,,,,,,161.82,170.3,,
21309-1,Ideas,NASA,2017,NASA Apollo Saturn V,,1969,109.99,119.99,149.99,119.99,5.70202E+12,6.73419E+11,37.8,48,11.2,,144.65,105.83,1/6/2017,31/12/2019
92176-1,Ideas,NASA,2020,NASA Apollo Saturn V,,1969,104.99,119.99,149.99,119.99,5.70202E+12,6.73419E+11,37.8,48,11.2,,134.06,123.29,1/11/2020,31/12/2022
75181-1,Star Wars,Ultimate Collector Series,2018,Y-wing Starfighter,2,1967,169.99,199.99,249.99,199.99,5.70202E+12,,58.2,37.8,11.8,,369.18,285.22,4/5/2018,31/12/2019
80013-1,Monkie Kid,A Hero is Born,2020,Monkie Kid's Team Secret HQ,8,1959,149.99,169.99,249.99,169.99,5.70202E+12,,58.2,48,12.4,,186.83,116,16/05/2020,31/12/2022
910001-1,Bricklink,2021 Designer Program,2021,Castle in the Forest,6,1957,132.99,179.99,,149.99,,,,,,,447.57,361.73,,
80024-1,Monkie Kid,Season 2,2021,The Legendary Flower Fruit Mountain,8,1949,149.99,169.99,249.99,169.99,5.70202E+12,6.73419E+11,58.2,48,9.1,,173.89,149.06,1/3/2021,31/12/2022
42130-1,Technic,Licensed,2022,BMW M 1000 RR,,1920,214.99,249.99,309.99,249.99,5.70202E+12,,58.2,37.8,10.3,,164.28,142.21,1/1/2022,31/12/2024
45816-1,Education,FIRST LEGO League Challenge,2021,CARGO CONNECT Challenge Kit,,1920,,,,,,,116,18.8,13.9,,193.92,147.82,1/8/2021,31/12/2023
9389-1,Education,,2012,Community Starter Set,,1907,,199.99,,,,6.73419E+11,43.8,32.3,27.4,3.2,191.09,,1/1/2012,31/12/2020
76193-1,Marvel Super Heroes,Avengers: Endgame,2021,The Guardians' Ship,6,1901,139.99,159.99,199.99,159.99,5.70202E+12,6.73419E+11,58.2,37.8,8.7,,123.04,96.45,1/6/2021,31/12/2023
45806-1,Education,FIRST LEGO League Challenge,2018,INTO ORBIT Challenge Kit,3,1892,,,,,,,,,,,215,150,,
75341-1,Star Wars,Ultimate Collector Series,2022,Luke Skywalker's Landspeeder,2,1890,209.99,239.99,299.99,239.99,5.70202E+12,,58.2,37.8,8.7,,179.16,145.56,4/5/2022,31/12/2024
8421-1,Technic,,2005,Mobile Crane,,1884,89.99,150,,,5.70201E+12,6.73419E+11,65.2,48,9.6,3.56,477.4,167.51,1/6/2005,31/12/2007
8258-1,Technic,,2009,Crane Truck,,1877,129.99,149.99,,,5.70201E+12,,58.2,48,9.1,,391.01,201.47,1/8/2009,31/12/2011
8285-1,Technic,,2006,Tow Truck,,1877,89.99,119.99,,,5.70201E+12,6.73419E+11,65.2,43.2,9.6,3.43,648.96,166.26,1/8/2006,31/12/2008
10300-1,Icons,Vehicles,2022,Back to the Future Time Machine,2,1872,169.99,199.99,249.99,199.99,5.70202E+12,,48,28.2,11.8,,176.79,145.77,1/4/2022,31/12/2025
76023-1,DC Comics Super Heroes,The Dark Knight Trilogy,2014,The Tumbler,2,1869,159.99,199.99,229.99,199.99,5.70202E+12,,58.1914,48.006,12.3952,3.47,339.04,149.79,1/9/2014,31/12/2015
10018-1,Star Wars,Ultimate Collector Series,2001,Darth Maul,,1868,,150,,,5.70201E+12,,57.6,48,11.4,,2699,664.82,29/10/2001,31/10/2002
42070-1,Technic,,2017,6x6 All Terrain Tow Truck,,1862,219.99,289.99,369.99,249.99,5.70202E+12,,58.2,48,12.4,,233.94,180.49,1/8/2017,31/12/2019
9322-1,Education,,2007,Town Developers Set,12,1860,,,,,,,,,,,226.43,198,,
3723-1,Advanced models,Sculptures,2000,LEGO Mini-Figure,,1850,,149,,,,,65.2,48,9.6,,1166.9,297,1/11/2000,30/06/2002
70839-1,The LEGO Movie 2,,2019,The Rexcelsior!,4,1826,139.99,149.99,199.99,149.99,5.70202E+12,,58.2,37.8,11.8,,163.5,129.77,1/5/2019,31/12/2019
31208-1,Art,Miscellaneous,2023,Hokusai - The Great Wave,,1810,89.99,99.99,139.99,99.99,,,48,37.8,11.2,,90.67,,1/1/2023,31/12/2025
11033-1,Classic,Miscellaneous,2023,Creative Fantasy Universe,,1800,79.99,89.99,119.99,89.99,,,,,,,,,,
5517-1,Make and Create,,2006,XXL 1800,,1800,,,,,,,,,,,,,,
80107-1,Seasonal,Chinese Traditional Festivals,2021,Spring Lantern Festival,8,1793,89.99,119.99,159.99,99.99,5.70202E+12,6.73419E+11,48,37.8,9.4,,127.16,103.73,1/1/2021,31/12/2021
71705-1,Ninjago,Rise of the Snakes,2020,Destiny's Bounty,7,1781,124.99,129.99,159.99,129.99,5.70202E+12,6.73419E+11,58.2,37.8,8.7,2.04,135.81,117.17,1/6/2020,31/12/2021
75255-1,Star Wars,Episode III,2019,Yoda,1,1771,104.99,99.99,139.99,119.99,5.70202E+12,6.73419E+11,35.4,37.8,11.8,,84.39,62.89,4/10/2019,31/12/2022
75244-1,Star Wars,Episode IV,2019,Tantive IV,6,1768,179.99,199.99,269.99,194.95,5.70202E+12,,58.2,37.8,10.3,,253.11,218.02,4/5/2019,31/12/2020
21046-1,Architecture,Landmark Series,2019,Empire State Building,,1767,89.99,129.99,159.99,99.99,5.70202E+12,,19.1,35.4,11.8,,91.25,67.67,1/6/2019,31/12/2021
10195-1,Star Wars,The Clone Wars,2009,Republic Dropship with AT-OT Walker,8,1758,183.99,249.99,349.99,,,6.73419E+11,58.2,48,9.1,,1594.9,767.31,1/5/2009,31/12/2011
5571-1,Model Team,,1996,Giant Truck,,1757,,139,,,5.70201E+12,,,,,,1625.68,616.37,,
10019-1,Star Wars,Ultimate Collector Series,2001,Rebel Blockade Runner,,1747,,200,,,5.70201E+12,6.73419E+11,65.2,48,11.4,,1311.64,591.03,5/11/2001,31/12/2003
10244-1,Creator Expert,Fairground Collection,2014,Fairground Mixer,12,1746,119.99,149.99,179.99,129.99,5.70202E+12,,57.8,37.4,8.3,,223.42,171.12,1/6/2014,31/12/2016
43179-1,Disney,Miscellaneous,2020,Mickey Mouse and Minnie Mouse,,1739,159.99,179.99,229.99,179.99,5.70202E+12,,58.2,37.8,11.8,,134.46,151.63,1/7/2020,31/12/2022
9609-1,Dacta,Technic,1995,Technology Resource Set,,1733,,,,,,,,,,,400,,,
43197-1,Disney,Frozen,2021,The Ice Castle,9,1709,189.99,219.99,279.99,219.99,5.70202E+12,6.73419E+11,37.8,58.2,11.8,,148.02,150,1/7/2021,31/12/2023
80045-1,Monkie Kid,Season 4,2023,Monkey King Ultra Mech,6,1705,119.99,159.99,219.99,139.99,,,37.8,48,9.4,,185.46,,1/1/2023,31/12/2024
75144-1,Star Wars,Ultimate Collector Series,2017,Snowspeeder,2,1703,169.99,199.99,229.99,199.99,5.70202E+12,,58.2,37.8,8.7,,330.91,252.16,4/5/2017,31/12/2018
11022-1,Classic,Miscellaneous,2022,Space Mission,,1700,69.99,69.99,89.99,79.99,5.70202E+12,,37.8,26.2,22.4,,67.02,,1/6/2022,31/12/2023
10258-1,Creator Expert,Vehicles,2017,London Bus,,1686,109.99,139.99,179.99,119.99,5.70202E+12,,47.5,37.4,10.7,,116.88,80.94,1/8/2017,31/12/2021
21042-1,Architecture,Landmark Series,2018,Statue of Liberty,,1685,89.99,119.99,149.99,99.99,5.70202E+12,6.73419E+11,19.1,35.4,11.8,1.44,76.5,56.41,1/6/2018,31/12/2024
75095-1,Star Wars,Ultimate Collector Series,2015,TIE Fighter,1,1685,179.99,199.99,229.99,199.99,5.70202E+12,,58.1914,48.006,9.0932,2.86,267.11,198.92,1/5/2015,31/12/2017
60097-1,City,Town,2015,City Square,14,1683,149.99,189.99,229.99,169.99,5.70202E+12,6.73419E+11,58.1914,37.7952,11.811,3.193288,167.61,120.11,1/6/2015,31/12/2017
41704-1,Friends,Heartlake City,2022,Main Street Building,8,1682,139.99,159.99,199.99,159.99,5.70202E+12,,58.2,37.8,8.7,,127.91,,1/1/2022,31/12/2023
10290-1,Icons,Vehicles,2021,Pickup Truck,,1677,114.99,129.99,169.99,129.99,5.70202E+12,,48,28.2,11.8,1.978,121.28,100,1/10/2021,31/12/2024
42125-1,Technic,Licensed,2021,Ferrari 488 GTE 'AF Corse #51',,1677,169.99,199.99,249.99,199.99,5.70202E+12,,48,37.8,11.2,,135.28,94.55,1/1/2021,31/12/2023
76393-1,Harry Potter,General,2021,Harry Potter & Hermione Granger,,1673,114.99,119.99,159.99,129.99,5.70202E+12,6.73419E+11,48,37.8,9.4,,76.04,105.67,1/6/2021,31/12/2022
75275-1,Star Wars,Ultimate Collector Series,2020,A-wing Starfighter,1,1673,179.99,199.99,259.99,199.99,5.70202E+12,,58.2,37.8,8.7,,214.79,195.12,1/5/2020,31/12/2021
9302-1,Education,,2001,Community Builders Set,,1670,118.3,,,,,,,,,,142.05,,,
10144-1,Star Wars,Episode IV,2005,Sandcrawler,11,1669,107.65,139.99,,,5.70201E+12,6.73419E+11,57.6,38.4,9.6,,377.8,263.98,15/06/2005,31/12/2008
80105-1,Seasonal,Chinese Traditional Festivals,2020,Chinese New Year Temple Fair,14,1664,89.99,119.99,159.99,97.47,5.70202E+12,6.73419E+11,48,37.8,7.1,,150.47,137.93,10/1/2020,31/12/2020
10210-1,Advanced models,Miscellaneous,2010,Imperial Flagship,9,1664,142.99,179.99,229.99,,,6.73419E+11,58.2,48,9.1,,1160.93,818.86,1/1/2010,31/12/2011
70655-1,Ninjago,Hunted,2018,Dragon Pit,9,1660,119.99,129.99,159.99,139.99,5.70202E+12,6.73419E+11,58.2,37.8,11.8,2.65,156.83,88.8,1/6/2018,31/12/2019
80111-1,Seasonal,Chinese Traditional Festivals,2023,Lunar New Year Parade,18,1653,89.99,129.99,169.99,99.99,,,,,,,96.73,,,
9324-1,Education,,2007,Micro Building Set,,1641,,,,,,,,,,,194.81,,,
42030-1,Technic,,2014,Volvo L350F Wheel Loader,,1636,169.99,249.99,299.99,219.99,5.70202E+12,,58.1914,48.006,12.3952,3.59,345.04,202.24,1/8/2014,31/12/2016
42113-1,Technic,Licensed,2020,Bell-Boeing V-22 Osprey,,1636,124.99,149.99,,139.99,5.70202E+12,6.73419E+11,58.2,37.8,8.7,2.44,,,,
45813-1,Education,FIRST LEGO League Challenge,2020,RePLAY Challenge Kit,2,1634,,,,,,,116,18.8,13.9,,293.63,145.66,1/8/2020,31/12/2022
80012-1,Monkie Kid,A Hero is Born,2020,Monkey King Warrior Mech,6,1629,114.99,149.99,189.99,129.99,5.70202E+12,,37.8,48,11.2,,143.61,107.1,16/05/2020,31/12/2022
70912-1,The LEGO Batman Movie,,2017,Arkham Asylum,13,1628,139.99,149.99,179.99,149.99,5.70202E+12,6.73419E+11,58.2,37.8,10.3,,198.17,159.93,1/1/2017,31/07/2018
10187-1,Advanced models,Vehicles,2008,Volkswagen Beetle,,1626,78.29,119.99,,,5.70201E+12,6.73419E+11,65.2,38.4,7.2,,729.61,409.06,1/7/2008,31/12/2009
10937-1,DC Comics Super Heroes,Batman,2013,Batman: Arkham Asylum Breakout,8,1619,129.99,159.99,209.99,,5.70201E+12,,58.2,48,9.1,,194.89,152.61,1/1/2013,31/12/2014
9657-1,Education,FIRST LEGO League Challenge,2012,Senior Solutions Challenge Kit,,1615,,,,,,,,,,,104.51,99.95,,
9780-1,Education,,1999,ROBOLAB Starter Building Set,,1615,,,,,,,,,,,,195,,
910010-1,Bricklink,2021 Designer Program,2021,The Great Fishing Boat,3,1609,99.99,129.99,,109.99,,,,,,,291.05,217.24,,
21334-1,Ideas,,2022,Jazz Quartet,,1606,89.99,99.99,129.99,99.99,5.70202E+12,,48,28.2,11.8,,101.91,73.49,28/06/2022,31/12/2024
11020-1,Classic,Miscellaneous,2022,Build Together,,1601,89.99,99.99,129.99,99.99,5.70202E+12,,58.5,34,10.8,,,,1/6/2022,31/12/2024
10193-1,Castle,Fantasy Era,2009,Medieval Market Village,8,1601,71.99,99.99,134.99,,5.70201E+12,6.73419E+11,58.2,37.8,8.7,,340.44,304,1/1/2009,1/2/2009
10664-1,Bricks and More,,2013,Creative Tower,,1600,49.99,,,,5.70201E+12,6.73419E+11,,,,2.34,89.21,,,
5589-1,Bricks and More,,2009,LEGO Giant Box,,1600,48.96,,,,5.70201E+12,,,,,,,60.67,,
5512-1,Bricks and More,,2010,LEGO XXL Box,,1600,49.99,,,,5.70201E+12,6.73419E+11,,,,,60,30.28,,
21128-1,Minecraft,Minifig-scale,2016,The Village,9,1600,179.99,199.99,249.99,199.99,5.70202E+12,6.73419E+11,58.2,37.8,11.8,,474.33,305.26,1/6/2016,31/12/2017
10654-1,Classic,Creative Box,2016,XL Creative Brick Box,,1600,49.99,,,59.99,5.70202E+12,6.73419E+11,,,,,99.1,60,,
41999-1,Technic,,2013,4x4 Crawler Exclusive Edition ,,1585,139.99,199.99,249.99,,,6.73419E+11,47.5,37.5,9.1,,445.66,370,1/8/2013,31/12/2013
80044-1,Monkie Kid,Season 4,2023,Monkie Kid's Team Hideout,6,1582,89.99,139.99,179.99,99.99,,,48,37.8,9.4,,136.85,,1/1/2023,31/12/2024
42096-1,Technic,Licensed,2019,Porsche 911 RSR,,1580,169.99,179.99,249.99,199.99,5.70202E+12,6.73419E+11,48,37.8,9.4,2.25,121,97.63,1/1/2019,31/12/2023
10223-1,Castle,Kingdoms,2012,Kingdoms Joust,9,1575,99.99,119.99,149.99,,5.70201E+12,6.73419E+11,58.2,37.8,8.7,1.38,321.49,303.26,1/1/2012,31/12/2014
9764-1,Education,FIRST LEGO League Challenge,2007,Power Puzzle Challenge Kit,1,1563,,,,,,,,,,,249.99,,,
10240-1,Star Wars,Ultimate Collector Series,2013,Red Five X-wing Starfighter,1,1559,169.99,199.99,249.99,199.99,5.70201E+12,6.73419E+11,58.1914,37.7952,8.7122,2.32,368.01,308.47,1/6/2013,31/12/2015
41101-1,Friends,Heartlake City,2015,Heartlake Grand Hotel,5,1552,109.99,129.99,159.99,129.99,5.70202E+12,6.73419E+11,58.1914,37.7952,10.3124,2.322391,183.8,81.23,1/6/2015,31/12/2017
4679-2,Creator,,2004,Bricks and Creations,,1531,,20,,,,6.73419E+11,37.6,36.3,27.3,,,,1/9/2004,31/12/2005
3724-1,Advanced models,Sculptures,2001,LEGO Dragon,,1530,,99,,,,,53.2,38.4,9.6,,1315.92,670.2,1/1/2001,30/06/2002
80109-1,Seasonal,Chinese Traditional Festivals,2022,Lunar New Year Ice Festival,13,1519,89.99,119.99,149.99,99.99,,,,,,,97.96,67.08,,
10241-1,Creator Expert,Maersk,2014,Maersk Line Triple-E,,1518,109.99,149.99,179.99,129.99,5.70202E+12,,58.2,37.8,10.3,,230.91,199.35,1/1/2014,31/12/2014
60271-1,City,Town,2020,Main Square,15,1517,169.99,199.99,229.99,179.99,5.70202E+12,,57.9,37.3,11.4,3.058,139.56,125.35,1/9/2020,31/12/2021
9696-1,Education,FIRST LEGO League Challenge,2010,Body Forward Challenge Kit,,1515,,,,,,,,,,,159.99,80,,
9763-1,Education,FIRST LEGO League Challenge,2006,Nano Quest Challenge Kit,2,1514,,,,,,,,,,,,,,
10308-1,Icons,Winter Village Collection,2022,Holiday Main Street,6,1514,89.99,99.99,129.99,99.99,5.70202E+12,,47.8,28,8.8,1.738,108.44,,3/10/2022,31/12/2025
10302-1,Icons,Licensed,2022,Optimus Prime,,1508,159.99,179.99,239.99,179.99,5.70202E+12,,28.2,48,9.1,1.702,140.88,126.73,1/6/2022,31/12/2025
11717-1,Classic,Bricks,2020,Bricks Bricks Plates,,1504,59.99,69.99,89.99,69.99,5.70202E+12,,48,37.8,9.4,,68.28,,1/5/2020,31/12/2022
1034-1,Dacta,Technic,1985,Teachers Resource Set,,1501,,,,,,,,,,,552.69,269.33,,
10717-1,Classic,Bricks,2018,Bricks Bricks Bricks,,1500,49.99,59.99,79.99,59.99,5.70202E+12,,48,37.8,9.4,,42.12,44.5,1/6/2018,31/12/2021
11011-1,Classic,Bricks,2020,Bricks and Animals,,1500,54.99,59.99,79.99,59.99,5.70202E+12,,26.2,37.3,21.5,,36.41,34,1/2/2020,31/12/2022
4919-1,Creator,Bucket,2005,LEGO Deluxe,,1500,19.99,,,,,,,,,,,,,
10697-1,Classic,Miscellaneous,2015,XXXL Box,,1500,49.99,59.99,,59.99,5.70202E+12,6.73419E+11,24.6888,37.4904,26.4922,2.25,82.55,76.53,1/6/2015,31/12/2016
4679-1,Make and Create,,2005,LEGO Strata Blue,,1500,,20,,,5.70201E+12,6.73419E+11,,,,,80.45,61.5,,
BL19004-1,Bricklink,AFOL Designer Program,2019,Wild West Saloon,,1496,,149.99,,,,,,,,,326.71,270,,
4000038-1,Miscellaneous,LEGO internal,2022,LEGO Campus,,1494,,,,,,,,,,,635.03,,,
10229-1,Advanced models,Winter Village Collection,2012,Winter Village Cottage,8,1490,89.99,99.99,129.99,,5.70201E+12,6.73419E+11,48,37.8,7.1,,383.57,301.48,1/10/2012,31/12/2013
9314-1,Education,,2010,Rescue Services Set,,1490,,149.95,,,,,,,,,,,,
10227-1,Star Wars,Ultimate Collector Series,2012,B-wing Starfighter,,1487,169.99,199.99,249.99,,5.70201E+12,6.73419E+11,58.2,48,12.7,,489.46,346.46,1/10/2012,31/12/2013
8461-1,Racers,Williams F1,2002,Williams F1 Team Racer,,1484,99.99,129.99,,,5.70201E+12,,65.2,43.2,9.6,,1033.14,255.91,1/9/2002,31/12/2003
21054-1,Architecture,Landmark Series,2020,The White House,,1483,89.99,99.99,149.99,99.99,5.70202E+12,6.73419E+11,38.2,26.2,9.4,1.57,81.41,57.12,1/6/2020,31/12/2023
10267-1,Creator Expert,Winter Village Collection,2019,Gingerbread House,2,1477,84.99,99.99,139.99,89.99,5.70202E+12,,47.8,27.8,8.8,1.448,120.89,114.66,1/10/2019,31/12/2021
21058-1,Architecture,Landmark Series,2022,The Great Pyramid of Giza,,1476,119.99,129.99,169.99,139.99,5.70202E+12,,48,37.8,11.2,,111.21,89.99,1/6/2022,31/12/2025
70425-1,Hidden Side,,2019,Newbury Haunted High School,8,1474,109.99,129.99,159.99,116.97,5.70202E+12,,58.2,37.8,8.7,,117.37,94.33,1/8/2019,31/12/2020
10134-1,Star Wars,Ultimate Collector Series,2004,Y-wing Attack Starfighter,1,1473,109.99,120,,,5.70201E+12,6.73419E+11,57.6,38.4,9.6,,643.92,260.66,1/10/2004,31/07/2006
10265-1,Creator Expert,Vehicles,2019,Ford Mustang,,1471,149.99,169.99,209.99,169.99,5.70202E+12,6.73419E+11,48,28.2,11.8,,120.02,104.86,1/3/2019,31/12/2023
9762-1,Education,FIRST LEGO League Challenge,2005,Ocean Odyssey Challenge Kit,,1470,,,,,,,,,,,,130,,
42154-1,Technic,Licensed,2023,2022 Ford GT,,1466,104.99,119.99,149.99,119.99,,,,,,,,,,
80023-1,Monkie Kid,Season 2,2021,Monkie Kid's Team Dronecopter,9,1462,114.99,149.99,199.99,129.99,5.70202E+12,,58.2,37.8,8.7,,141.04,,1/3/2021,31/12/2022
10295-1,Icons,Vehicles,2021,Porsche 911,,1458,149.99,169.99,209.99,169.99,5.70202E+12,6.73419E+11,48,28.2,11.8,,125.44,106.31,1/3/2021,31/12/2024
10129-1,Star Wars,Ultimate Collector Series,2003,Rebel Snowspeeder,,1457,,130,,,5.70201E+12,,57.6,38.4,9.6,,778.85,414.69,29/09/2003,31/07/2005
10304-1,Icons,Vehicles,2022,Chevrolet Camaro Z/28 1969,,1456,149.99,169.99,209.99,169.99,5.70202E+12,,48,28.2,11.8,,173.56,,1/8/2022,31/12/2025
70917-1,The LEGO Batman Movie,,2017,The Ultimate Batmobile,8,1456,139.99,139.99,159.99,129.99,5.70202E+12,6.73419E+11,58.1914,37.7952,8.7122,1.855191,167.91,151.11,1/6/2017,31/12/2018
40174-1,Miscellaneous,Games,2017,LEGO Chess,,1450,54.99,64.99,79.99,64.99,5.70202E+12,,54,28.2,9.1,,59.55,36.6,1/1/2017,31/12/2023
7709-1,Exo-Force,Original,2006,Sentai Fortress,8,1448,69.99,100,,,,6.73419E+11,65.2,38.4,11.4,3.15,236.03,187.33,1/6/2006,31/12/2007
10293-1,Icons,Winter Village Collection,2021,Santa's Visit,4,1445,89.99,99.99,139.99,99.99,5.70202E+12,,47.9,28,8.7,1.656,79.46,68.9,1/10/2021,31/12/2024
BL19008-1,Bricklink,AFOL Designer Program,2019,The LEGO Story,4,1442,,99.99,,,,,,,,,167.62,119.59,,
8448-1,Technic,,1999,Super Street Sensation,,1437,,130,,,5.70201E+12,,59.2,43.2,9.6,,620.56,151.94,1/8/1999,31/12/2000
9761-1,Education,FIRST LEGO League Challenge,2004,No Limits Challenge Kit,,1436,,,,,,,,,,,,,,
42141-1,Technic,Licensed,2022,McLaren Formula 1 Race Car,,1432,169.99,199.99,249.99,199.99,5.70202E+12,,58.2,37.8,8.7,,161.69,117.91,1/3/2022,31/12/2024
8458-1,Technic,,2000,Silver Champion,,1431,,170,,,5.70201E+12,,65.2,43.2,9.6,,642.22,273.32,1/9/2000,31/05/2002
80016-1,Monkie Kid,Season 1,2020,The Flaming Foundry,7,1427,119.99,139.99,179.99,129.99,5.70202E+12,,58.2,37.8,8.7,,119.53,,1/8/2020,31/12/2021
70357-1,Nexo Knights,Season 4,2017,Knighton Castle,11,1426,109.99,129.99,159.99,129.99,,6.73419E+11,58.1914,37.7952,10.3124,2.39043,169.78,119.93,1/6/2017,31/07/2018
31120-1,Creator,3 in 1,2021,Medieval Castle,4,1426,89.99,99.99,139.99,99.99,5.70202E+12,6.73419E+11,47.6,37.4,9,2.283,95.61,71.66,1/8/2021,31/12/2024
45570-1,Education,Mindstorms,2014,Space Challenge Set,,1417,,,,,,,,,,,200.59,250,,
9280-1,Dacta,,1997,Giant Basic Set,,1417,,,,,,,,,,,,,,
75190-1,Star Wars,The Last Jedi,2017,First Order Star Destroyer,7,1416,129.99,159.99,179.99,149.99,5.70202E+12,6.73419E+11,58.1914,37.7952,10.3124,2.299711,221.55,161.37,1/9/2017,31/12/2018
75212-1,Star Wars,Solo,2018,Kessel Run Millennium Falcon,7,1414,149.99,169.99,199.99,169.99,5.70202E+12,6.73419E+11,58.2,37.8,8.7,2.57,195.96,166.74,20/04/2018,31/07/2019
10198-1,Star Wars,Episode IV,2009,Tantive IV,5,1408,122.99,149.99,199.99,,,6.73419E+11,0,0,0,,297.87,172.36,1/9/2009,31/12/2011
80038-1,Monkie Kid,Season 3,2022,Monkie Kid's Team Van,6,1406,89.99,129.99,169.99,99.99,5.70202E+12,,48,37.8,9.4,,102.62,,1/6/2022,31/12/2023
70617-1,The LEGO Ninjago Movie,,2017,Temple of the Ultimate Ultimate Weapon,8,1403,79.99,99.99,129.99,99.99,,6.73419E+11,48.006,37.7952,11.2014,2.118275,120.93,82.46,1/8/2017,31/12/2018
